Season,Episode Name,Episode Number,Speaker,Text
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,It's harder then ever to see without my glasses.
1,Arthur's Eyes (episode)/Transcript,1,Buster:,Why don't you just wear 'em?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,I don't need them. I know this school at the back of my own hand.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"Boy's room is the third door from this corner, right?"
1,Arthur's Eyes (episode)/Transcript,1,Buster:,Yeah.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"See, why do I need em?"
1,Arthur's Eyes (episode)/Transcript,1,Buster:,See ya in class!
1,Arthur's Eyes (episode)/Transcript,1,Mr. Haney:,"That's why I lock the exams, and..."
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco:,"Oh, well, the examination was better than I thought it would be. Still, in all, I think that we’re going to have to go over..."
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,First door.   Second.   Third.
1,Arthur's Eyes (episode)/Transcript,1,Francine:,"I said, if I'm not batting cleanup, I'm not playing."
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Francine?!
1,Arthur's Eyes (episode)/Transcript,1,Francine and Muffy:,Aah!
1,Arthur's Eyes (episode)/Transcript,1,"Arthur, Muffy, and Francine:",What are you doing in here?!
1,Arthur's Eyes (episode)/Transcript,1,Francine: ,This is the girls' room! Get outta here!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Hm?
1,Arthur's Eyes (episode)/Transcript,1,Girls:,Augh!  It's a boy! Get him out!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Get me out of here!!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Augh!   ) Oh no....
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,I'm just gonna have to get used to being a four-eyed weirdo...
1,Arthur's Eyes (episode)/Transcript,1,Bionic Bunny ):,"I'm Wilbur Rabbit. And this is the story of how we make the Bionic Bunny show!       (He is holding up a car in the studio. He lets go and the car stays in place.)    Em, what's my next line?   (filmmaker puts glasses on his eyes similar to Arthur's so he can read the script)"
1,Arthur's Eyes (episode)/Transcript,1, Arthur:,Wilbur Rabbit wears glasses just like mine? Alright!
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Old four-eyes is back!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Hi Francine!
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Huh?
1,Arthur's Eyes (episode)/Transcript,1,Binky:,I know! You're wearing glasses!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"Yeah, I am!"
1,Arthur's Eyes (episode)/Transcript,1,Binky:,Four-eyes )
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Binky? Did you know Wilbur Rabbit wears glasses?
1,Arthur's Eyes (episode)/Transcript,1,Binky:,Yeah I saw that on TV last night.
1,Arthur's Eyes (episode)/Transcript,1,Francine:,I didn't see that!
1,Arthur's Eyes (episode)/Transcript,1,Binky: ,Yeah wasn't it great how they make him fly?
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Don't ask me to read the problems to you! I need to concentrate.
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,Okay.
1,Arthur's Eyes (episode)/Transcript,1,Francine:,"Look out everybody, Arthur's got the ball."
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco:,Very good Arthur! All correct!
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Arthur! How would you like to play on my basketball team today?
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Do you like them?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,There's no glass.
1,Arthur's Eyes (episode)/Transcript,1,Francine:,"They're my movie star glasses. Don't they make me look beautiful? Wilbur Rabbit wears glasses, you know."
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,And his are just like mine!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"And since then, I always wore glasses. Does that solve your mystery?"
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,I guess... but it's not as good as having a lost brother.
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,Hey look! Who's this weird guy with mom?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,That's dad.
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,"Dad doesn't have a beard, Arthur. Maybe mom's divorced! I'm waking her up right now, and demand an explanation!"
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,D.W.! D.W.! D.W.!    )
1,Francine's Bad Hair Day/Transcript,2,Class:,)
1,Francine's Bad Hair Day/Transcript,2,Mr. Ratburn:,"Quiet down! Now as you may have heard - Buster, turn around, please - school pictures have just been scheduled..."
1,Francine's Bad Hair Day/Transcript,2,Muffy:,What? Now? I can't have my picture taken in these rags!
1,Francine's Bad Hair Day/Transcript,2,Mr. Ratburn:,"...for next Thursday afternoon. That should give you plenty of time to change your clothes, Miss Crosswire."
1,Francine's Bad Hair Day/Transcript,2,Arthur ):,"Like, it's not a good idea to drink six cans of soda and then have your picture taken."
1,Francine's Bad Hair Day/Transcript,2,Buster:,)
1,Francine's Bad Hair Day/Transcript,2,Arthur ):,Or rub your feet across the carpet and sit in a metal chair.
1,Francine's Bad Hair Day/Transcript,2,Prunella:,Aah!
1,Francine's Bad Hair Day/Transcript,2,Arthur ):,Or wear a flower if you have allergies.
1,Francine's Bad Hair Day/Transcript,2,Binky:,Ah-tchoo!
1,Francine's Bad Hair Day/Transcript,2,Buster:,We'll never do it. They're fourth-graders.
1,Francine's Bad Hair Day/Transcript,2,Fourth-Graders:,)
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,"Remember the plan. No matter what, get the ball to Francine."
1,Francine's Bad Hair Day/Transcript,2,3rd Graders: ,Break!
1,Francine's Bad Hair Day/Transcript,2,Third-Graders: ,)
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,Whoaaaahhh!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Watch it!
1,Francine's Bad Hair Day/Transcript,2,Buster: ,I got it! I got it!
1,Francine's Bad Hair Day/Transcript,2,Third-Graders: ,Aww...
1,Francine's Bad Hair Day/Transcript,2,Francine: ,)
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,Go! Go!
1,Francine's Bad Hair Day/Transcript,2,Billy:,Um!
1,Francine's Bad Hair Day/Transcript,2,Buster: ,Youuuuu're out!
1,Francine's Bad Hair Day/Transcript,2,Third-Graders: ,)
1,Francine's Bad Hair Day/Transcript,2,Prunella: ,My mother said I could get a new dress for picture day.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,I'm getting new shoes and a dress.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,We beat the fourth-graders! I tagged them and we won!
1,Francine's Bad Hair Day/Transcript,2,Prunella: ,"So, anyway, we should compare dresses and make sure we're not wearing the same thing."
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,What are you wearing?
1,Francine's Bad Hair Day/Transcript,2,Francine: ,To what?
1,Francine's Bad Hair Day/Transcript,2,Muffy + Sue Ellen + Prunella: ,School pictures!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Pictures? Who cares?
1,Francine's Bad Hair Day/Transcript,2,Prunella: ,Not you obviously.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,I think Francine will have the prettiest picture of all.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,You do?
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Except for mine, of course."
1,Francine's Bad Hair Day/Transcript,2,Francine:,Ow!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"It would take a lot of work, but... you could be a whole new Francine. We could even look like twins. Maybe."
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Leave it to me.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I told you I didn't have any dresses.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,What's that? Back there? She takes out a pink dress and shows it to Francine. Put it on!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I'll look stupid!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Do you want a nice school picture or not? Trust me.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"See? It's perfect. Once you fix the little rip over here. Just have your mom run a needle over that. And now, for your hair."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,What's wrong with my hair?
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,A-hm! She gets a brush. Francine sits on the toilet lid. Close your eyes until I tell you to look.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,But!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Do it! Francine closes her eyes and Muffy brushes her hair. Okay, you can look now."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Ahhh!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,I don't get it. It always works for me.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Get me out of this!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Wait, I have an idea. She takes out a cell phone and uses speed dial. Hello? Flossie? This is Muffy."
1,Francine's Bad Hair Day/Transcript,2,Flossie ): ,"Ahh Muffy! My favorite little client! Oh, this is a treat!"
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Can I bring a friend to my appointment? She really needs something special.
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,"You got it, kid."
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Well that's great. Thank you. She hangs up. It's all set. Meet me tomorrow afternoon at the Salon de Beauté.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,The what??
1,Francine's Bad Hair Day/Transcript,2,Francine: ,You didn't say we were going to a beauty parlor!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,What'd you think it was? A pet shop?
1,Francine's Bad Hair Day/Transcript,2,Francine: ,No way am I going in there.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"I knew you'd chicken out. Luckily, I brought my secret weapon. She takes a photograph out of her handbag showing a muddy Francine with horrible hair. Remember this? Last year's picture? Is this what you wanna look like?"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Okay... okay.... you win.
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,"Muffy! How positively brilliant to see you! Everyone, look who's here!"
1,Francine's Bad Hair Day/Transcript,2,Hair Stylists: ,)
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,And what have we here?
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Francine?
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,"Oh, that's right. Ah, well, we don't promise miracles. Not in your price range anyway. She puts Francine in a chair and takes a picture, which appears on a computer screen. The picture changes to Francine in pharaoh’s clothes. This is our Queen of the Nile look, very popular. No? Francine covers her eyes. Well then, let's try for something more au courant."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Don't you have anything more normal?
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,"If you insist. Ah, I have just the thing."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,"I'll take that, I guess. Only not too much hairspray."
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,"You got it, kid. She speaks into a microphone. One prom queen to go, extra curls, hold the sauce."
1,Francine's Bad Hair Day/Transcript,2,Flossie: ,") She combs and cuts the hair, puts curlers in it and puts it under a hair dryer. And now, ma chérie, you will rest and wake up as the girl of your dreams."
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,"Ladies and gentlemen, the moment you've all been waiting for. Let's hear it for Francine Frensky! Francine is sporting a brand new hairdo. The crowd is loving it."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Play ball!
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,"She prepares herself for the opening pitch, as she takes her place behind the plate. And there's the pitch!"
1,Francine's Bad Hair Day/Transcript,2,Arthur:,)
1,Francine's Bad Hair Day/Transcript,2,Fourth-Grade Bunny: ,Huh? Ah!
1,Francine's Bad Hair Day/Transcript,2,Umpire: ,Strrrr-ike!
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,What a dazzling play by Francine!
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,"It's the bottom of the third inning, Francine runs all the way to the outfield and returns the ball... Francine runs to the outfield, catches the ball with her hair and passes to Arthur. ...to Arthur who makes the catch!"
1,Francine's Bad Hair Day/Transcript,2,Umpire: ,You're out!
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,"It's the final play of the game! Francine races to beat the ball, she slides, and..."
1,Francine's Bad Hair Day/Transcript,2,Umpire: ,Safe!
1,Francine's Bad Hair Day/Transcript,2,Announcer: ,Her new hairdo touches the plate just in time! What a game!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Francine? Francine!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"So, what do you think?"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I knew it.
1,Francine's Bad Hair Day/Transcript,2,Flossy: ,"Oh, if only she had hair like yours."
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,I think it's great! Wait till you see how it looks with your dress!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Now, there are a few little things that you should know about hair care."
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,What are you doing??
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Riding my bike!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,I don't think so! Bicycles and curls do not mix!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"See, I told you it was worth it! Now remember what I said; no swimming, no riding in convertibles, and wear protective headgear in the rain."
1,Francine's Bad Hair Day/Transcript,2,Mrs. Frensky: ,"Honey, Arthur called to remind you about the kickball game tomorrow. Don't forget to bring the ball!"
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Oh, I forgot. Absolutely no kickball!"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,No way!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,And no lying down!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I can't do this! There's too many rules!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Remember my secret weapon? Well, then?"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Okay.
1,Francine's Bad Hair Day/Transcript,2,Arthur + Buster:,) Muffy crushes the paper ball with her foot. She and Francine are wearing their new hairdo and Francine is wearing the pink dress. Aah!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Do you like it?
1,Francine's Bad Hair Day/Transcript,2,Buster: ,No.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I wasn't asking you!
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,Well...it's....
1,Francine's Bad Hair Day/Transcript,2,Buster: ,Aliiive!
1,Francine's Bad Hair Day/Transcript,2,Arthur + Buster: ,)
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Oh, pretend you don't see them! Boys ruin everything!"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,)
1,Francine's Bad Hair Day/Transcript,2,Buster: ,Incoming! Buster and Brain walk past Francine’s table. Was it an accident or does she look like that on purpose?
1,Francine's Bad Hair Day/Transcript,2,Brain: ,Probably a combination of gravitational pull and too much stress on the hair follicles.
1,Francine's Bad Hair Day/Transcript,2,Brain + Buster: ,)
1,Francine's Bad Hair Day/Transcript,2,Francine: ,You are gonna get it!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Francine, calm down!"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Ah!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Aah! Now look what you did!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"There, you can't see a thing."
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Yes you can! It's all over....
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Ahem! Now, if you just stay still until picture time, everything will be fine."
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,What do you mean you can't play?!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,You heard her! She can't mess up her hair!
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,Why?!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I have to keep it nice for school pictures.
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,"But Francine, it's the fourth graders! They'll kill us if you don't play!"
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"Good! No slouching. Remember, good posture is the key to true beauty."
1,Francine's Bad Hair Day/Transcript,2,Fourth-Graders: ,)
1,Francine's Bad Hair Day/Transcript,2,Fourth-Grade Bunny: ,Can I help you find the ball?!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,"Come on you guys, get up!!"
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Sit down!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,It's one to nothing.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Two to nothing!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"You have to get used to this Francine! If you want to look nice, no more kickball!"
1,Francine's Bad Hair Day/Transcript,2,Prunella: ,It's just a silly game anyway. What's the point of running around in a circle and getting your shoes dirty? A ball comes flying towards the girls. Aah!
1,Francine's Bad Hair Day/Transcript,2,Third-Graders: ,)
1,Francine's Bad Hair Day/Transcript,2,Buster: ,She caught it and you're out!
1,Francine's Bad Hair Day/Transcript,2,Fourth-Grade Bunny: ,She wasn't even playing!
1,Francine's Bad Hair Day/Transcript,2,Luke: ,Did you know there's a poodle on your head?
1,Francine's Bad Hair Day/Transcript,2,Francine: ,"Yeah, and it does tricks too! Watch!"
1,Francine's Bad Hair Day/Transcript,2,Third-Graders: ,)
1,Francine's Bad Hair Day/Transcript,2,Francine: ,) Safe!
1,Francine's Bad Hair Day/Transcript,2,Muffy:,How could you?!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,"I'm sick of being perfect! Besides, I like the way I used to look."
1,Francine's Bad Hair Day/Transcript,2,Photographer: ,Next!
1,Francine's Bad Hair Day/Transcript,2,Buster: ,Remember me? I'm the one who burped!
1,Francine's Bad Hair Day/Transcript,2,Photographer: ,Next!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Listen to me! Don't go in there! You'll regret it forever!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,You're making it worse!
1,Francine's Bad Hair Day/Transcript,2,Photographer: ,Next!
1,Francine's Bad Hair Day/Transcript,2,Photographer: ,Next!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Oh that Francine!
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"It's like my father says, ""You get what you pay for!"" And if I were you, I'd burn those and quick!"
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I sorta like them. See the smudge? I got it when I slid into home.
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,"Hey, wanna trade?"
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,Hers didn't come out. Technical difficulties.
1,Francine's Bad Hair Day/Transcript,2,Francine: ,I'll trade if you promise not to laugh!
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,I won't if you won't!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,Okay.
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,I like it. Looks just like you!
1,Francine's Bad Hair Day/Transcript,2,Francine: ,So does yours.
1,Francine's Bad Hair Day/Transcript,2,Muffy: ,"I give up Francine Frensky! I'm sorry to have to say this, but you'll never be like me!"
1,Francine's Bad Hair Day/Transcript,2,Arthur: ,Kickball?
1,Francine's Bad Hair Day/Transcript,2,Francine: ,You bet!
1,Arthur and the Real Mr. Ratburn/Transcript,3,Arthur:,Mr. Haney is about to post a list that tells us which teacher we'll get this year.
1,Arthur and the Real Mr. Ratburn/Transcript,3,Arthur:,Uh-oh.
1,Arthur and the Real Mr. Ratburn/Transcript,3,Mr. Haney:,Oh! Forgot a tack. [reenters office]
